日期,正向,中立,負向,情緒分數
2021-06-22,1.0,0.0,0.0,0.1
2021-06-23,2.0,0.0,6.0,-1.19
2021-06-24,0.0,0.0,0.0,0.0
2021-06-25,1.0,0.0,1.0,0.01
2021-06-28,7.0,1.0,1.0,0.4
2021-06-29,2.0,2.0,0.0,0.17
2021-06-30,0.0,0.0,0.0,0.0
2021-07-01,2.0,1.0,0.0,0.12
2021-07-02,1.0,0.0,1.0,-0.18
2021-07-03,0.0,0.0,0.0,0.0
2021-07-04,0.0,0.0,0.0,0.0
2021-07-05,4.0,2.0,5.0,-0.35
2021-07-06,5.0,0.0,1.0,2.15
2021-07-07,7.0,1.0,2.0,0.1
2021-07-08,10.0,0.0,2.0,1.31
2021-07-09,1.0,0.0,1.0,0.02
2021-07-10,0.0,0.0,0.0,0.0
2021-07-11,0.0,0.0,0.0,0.0
2021-07-12,2.0,0.0,0.0,0.12
2021-07-13,11.0,2.0,4.0,0.38
2021-07-14,7.0,3.0,6.0,1.27
2021-07-15,5.0,1.0,0.0,0.62
2021-07-16,15.0,2.0,2.0,3.45
2021-07-17,21.0,1.0,2.0,4.23
2021-07-18,0.0,0.0,0.0,0.0
2021-07-19,5.0,3.0,5.0,0.09
2021-07-20,3.0,0.0,5.0,-1.0
2021-07-21,5.0,4.0,4.0,-0.12
2021-07-22,0.0,0.0,0.0,0.0
2021-07-23,7.0,3.0,2.0,0.84
2021-07-24,0.0,0.0,0.0,0.0
2021-07-25,0.0,0.0,0.0,0.0
2021-07-26,4.0,2.0,4.0,-1.31
2021-07-27,15.0,2.0,3.0,1.95
2021-07-28,20.0,7.0,8.0,2.04
2021-07-29,14.0,0.0,6.0,1.03
2021-07-30,16.0,4.0,12.0,-0.91
2021-07-31,0.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.0
2021-08-03,0.0,0.0,0.0,0.0
2021-08-04,20.0,6.0,11.0,1.5
2021-08-05,7.0,3.0,4.0,0.06
2021-08-06,9.0,3.0,4.0,1.04
2021-08-07,2.0,0.0,0.0,0.41
2021-08-08,0.0,0.0,0.0,0.0
2021-08-09,11.0,1.0,0.0,1.72
2021-08-10,22.0,2.0,11.0,0.27
2021-08-11,0.0,0.0,0.0,0.0
2021-08-12,10.0,2.0,2.0,2.79
2021-08-13,7.0,0.0,7.0,0.3
2021-08-14,0.0,0.0,0.0,0.0
2021-08-15,2.0,3.0,2.0,-0.98
2021-08-16,13.0,1.0,1.0,3.58
2021-08-18,0.0,0.0,1.0,0.0
2021-08-19,12.0,1.0,5.0,1.79
2021-08-20,1.0,0.0,0.0,0.73
2021-08-21,6.0,0.0,0.0,1.81
2021-08-22,12.0,1.0,1.0,3.07
2021-08-25,1.0,0.0,2.0,-0.23
2021-08-28,4.0,0.0,1.0,0.46
2021-08-29,10.0,0.0,1.0,2.04
2021-08-30,3.0,0.0,1.0,1.17
